dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
CPU logen,[CPU] HRMQ,32,1,0,67108864,-1,1.120738,1916133873.126093,0.521884,0.017112
CPU logen,[CPU] HRMQ,32,1,0,67108864,-1,1.118617,1919766990.027291,0.520897,0.015630
CPU logen,[CPU] HRMQ,32,1,0,67108864,-1,1.119928,1917519629.180564,0.521507,0.018054
CPU logen,[CPU] HRMQ,32,1,0,67108864,-1,1.119334,1918537403.822333,0.521230,0.014878
CPU logen,[CPU] HRMQ,32,1,0,67108864,-1,1.149096,1868845650.981893,0.535090,0.014206
CPU logen,[CPU] HRMQ,32,1,0,67108864,-1,1.121173,1915389504.623147,0.522087,0.018916
CPU logen,[CPU] HRMQ,32,1,0,67108864,-1,1.131993,1897082839.423320,0.527125,0.018905
CPU logen,[CPU] HRMQ,32,1,0,67108864,-1,1.120376,1916751837.784715,0.521716,0.019417
CPU logen,[CPU] HRMQ,32,1,0,67108864,-1,1.122497,1913130529.477200,0.522703,0.017242
CPU logen,[CPU] HRMQ,32,1,0,67108864,-1,1.162257,1847683859.973260,0.541218,0.013656
CPU logen,[CPU] HRMQ,32,1,0,67108864,-1,1.119053,1919017912.653320,0.521100,0.013215
CPU logen,[CPU] HRMQ,32,1,0,67108864,-1,1.118708,1919610299.269886,0.520939,0.014487
CPU logen,[CPU] HRMQ,32,1,0,67108864,-1,1.120013,1917373962.704899,0.521547,0.018294
CPU logen,[CPU] HRMQ,32,1,0,67108864,-1,1.120947,1915777054.828411,0.521981,0.015419
CPU logen,[CPU] HRMQ,32,1,0,67108864,-1,1.119274,1918639303.488076,0.521203,0.015860
CPU logen,[CPU] HRMQ,32,1,0,67108864,-1,1.120421,1916675823.339966,0.521737,0.019176
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.567659,1369866513.745747,0.729998,0.018554
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.569983,1367838443.474783,0.731080,0.017934
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.568170,1369420464.182545,0.730236,0.017884
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.570427,1367452065.794332,0.731287,0.014807
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.705479,1259167089.277381,0.794176,0.019116
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.567780,1369761239.905476,0.730054,0.015749
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.566673,1370728725.230001,0.729539,0.015880
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.574692,1363748038.308573,0.733273,0.015950
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.575651,1362918235.254616,0.733720,0.016060
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.571434,1366575817.193986,0.731756,0.018324
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.569307,1368428318.855983,0.730765,0.018615
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.569115,1368595031.661729,0.730676,0.014578
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.569907,1367904704.612143,0.731045,0.018545
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.570333,1367534235.173134,0.731243,0.013486
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.570787,1367138892.243442,0.731455,0.019517
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.579306,1359763998.141243,0.735422,0.019396
CPU logen,[CPU] HRMQ,32,4,0,67108864,-1,2.113101,1016271144.906763,0.983989,0.015539
